date,CPI_Energy,CPI_Food,CPI_Shelter,CPI_Total,CPI_Energy_YoY,CPI_Food_YoY,CPI_Shelter_YoY,CPI_Total_YoY,Gas_Price,Diesel_Price,Oil_Price,Unemp_Total,Unemp_Men,Unemp_Women,News_Count_Inflation,News_Count_Recession,News_Count_Crisis,News_Count_High_Price,News_Count_Layoff,News_Count_Unemployment,News_Total_Counting
2016-01-01,180.171,248.631,283.498,236.916,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,1.9485000000000001,2.14275,32.646,4.8,4.8,4.9,1,6,54,1,43,7,112
2016-02-01,172.061,248.8,284.435,237.111,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,1.7635999999999998,1.9982,30.185000000000002,4.9,4.9,4.8,0,7,50,0,11,8,76
2016-03-01,179.017,247.978,285.196,238.132,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,1.96875,2.09,37.4725,5.0,4.9,5.1,2,1,54,1,18,2,78
2016-04-01,185.652,248.413,285.836,239.261,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.11275,2.1515,40.186,5.1,5.1,5.0,0,7,45,0,44,3,99
2016-05-01,192.673,247.86,286.924,240.229,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.2682,2.3146,46.5925,4.8,4.8,4.8,0,6,47,0,22,4,79
2016-06-01,200.035,247.482,288.069,241.018,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.3655,2.4225000000000003,48.945,4.9,4.9,4.8,3,6,28,3,9,3,52
2016-07-01,195.94,247.554,288.78,240.628,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.239,2.4045,45.242000000000004,4.8,5.0,4.5,0,2,39,1,5,1,48
2016-08-01,193.524,247.719,289.605,240.849,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.1776,2.3506,44.535,4.9,5.0,4.8,3,5,33,2,8,2,53
2016-09-01,195.852,247.917,290.445,241.428,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.2185,2.39425,45.31,5.0,5.1,4.8,0,1,40,1,25,0,67
2016-10-01,194.786,248.073,291.407,241.729,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.2494,2.4544,49.9225,4.9,5.0,4.7,2,3,32,3,28,3,71
2016-11-01,191.402,247.435,291.953,241.353,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.1814999999999998,2.4385,45.629999999999995,4.7,4.9,4.6,2,5,27,2,47,0,83
2016-12-01,193.306,247.313,292.612,241.432,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.25425,2.51,51.412,4.7,4.8,4.6,1,1,31,3,30,2,68
2017-01-01,199.608,248.242,293.56,242.839,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995,2.3489999999999998,2.5797999999999996,52.4925,4.7,4.7,4.7,1,1,32,0,25,1,60
2017-02-01,198.195,248.791,294.444,243.603,15.188799321170965,-0.0036173633440550468,3.5189059011724977,2.7379581714893186,2.3040000000000003,2.568,53.365,4.6,4.6,4.6,1,3,34,0,9,2,49
2017-03-01,198.597,249.165,295.044,243.801,10.937508728221346,0.47867149505196327,3.453063857838101,2.3806124334402767,2.325,2.5535,49.702,4.4,4.5,4.3,1,4,28,3,16,2,54
